bus_id,cluster_id
1001,7
1002,7
1003,7
1004,7
1032,7
1034,7
1101,7
1102,7
1131,7
1201,2
1202,7
1232,7
1301,2
1302,2
1303,2
1331,2
1333,2
1401,8
1402,8
1403,8
1431,8
2000,8
2030,8
2100,8
2130,8
2201,8
2202,8
2203,8
2233,8
2301,8
2302,8
2332,8
2400,8
2401,8
2402,8
2403,8
2404,3
2405,3
2406,3
2407,3
2408,3
2409,8
2410,3
2411,3
2438,3
2501,8
2502,8
2503,8
2533,8
2600,8
2601,3
2602,3
2603,8
2604,2
2605,3
2606,3
2607,8
2608,3
2609,3
2610,8
2611,3
2612,3
2613,3
2614,3
2615,3
2616,3
2617,3
2618,3
2619,3
2620,3
2621,3
2630,3
2631,3
2634,2
2637,3
2638,3
2901,2
2902,8
3101,9
3102,9
3103,9
3104,9
3105,9
3133,9
3135,9
3201,9
3202,9
3203,9
3204,9
3205,9
3234,9
3301,9
3302,9
3303,9
3304,9
3305,9
3333,9
3401,1
3402,1
3403,1
3404,1
3405,1
3432,1
3433,1
3501,5
3531,5
3601,5
3631,5
3701,5
3731,5
3801,1
3802,1
3803,1
3804,1
3805,1
3806,1
3831,1
3835,1
3836,1
3891,1
3892,1
3893,1
3894,1
3895,1
3896,1
3897,1
3901,1
3902,1
3903,9
3904,9
3905,5
3906,5
3907,9
3908,5
3909,5
3910,5
3911,5
3912,5
3913,5
3914,9
3915,9
3916,5
3917,1
3918,1
3919,5
3920,5
3921,5
3922,5
3923,9
3924,9
3925,5
3926,5
3931,5
3932,1
3933,9
4001,0
4002,0
4003,0
4004,0
4005,6
4006,0
4007,0
4008,0
4009,0
4010,0
4031,0
4035,6
4039,6
4090,0
4091,0
4092,0
4093,0
4094,0
4095,0
4096,0
4097,0
4101,6
4102,6
4103,6
4104,6
4131,6
4132,6
4201,6
4202,6
4203,0
4204,0
4231,6
4232,6
5001,6
5002,6
5003,6
5004,6
5031,6
5032,6
6101,4
6102,4
6103,4
6104,4
6132,4
6201,4
6202,4
6203,4
6204,4
6205,4
6231,4
6235,4
6301,4
6302,7
6303,4
6304,7
6305,4
6333,4
6335,4
6401,5
6402,5
6403,2
6404,2
6433,2
6501,4
6502,2
6503,2
6504,2
6505,7
6506,7
6507,2
6508,2
6509,2
6510,4
6533,2
7001,7
7002,7
7031,7
7032,7
8001,5
8002,9
8003,5
8004,5
8005,9
8033,5
8034,5
